,Search Parameters,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,Country,Continent
35,,2015.0,10.0,26.0,9.0,9.0,56.0,,,AFGHANISTAN: HINDU KUSH,36.524,70.368,231.0,7.5,7.0,399.0,3.0,,,1770.0,4.0,109.0,4.0,29230.0,4.0,79893.0,4.0,399.0,3.0,,,1770.0,4.0,109.0,4.0,29230.0,4.0,79893.0,4.0,AFGHANISTAN,Asia
36,,2015.0,11.0,4.0,3.0,44.0,19.0,,,INDONESIA:  EAST NUSA TENGGARA:  ALOR,-8.338,124.875,20.0,6.5,5.0,,,,,3.0,1.0,9.0,3.0,,,1468.0,4.0,,,,,3.0,1.0,9.0,3.0,,,1468.0,4.0,INDONESIA,Asia
37,,2015.0,11.0,7.0,6.0,58.0,30.0,,,VENEZUELA:  MERIDA,8.477,-71.365,14.0,5.3,,1.0,1.0,,,,,,1.0,33.0,1.0,83.0,2.0,1.0,1.0,,,,,,1.0,33.0,1.0,83.0,2.0,VENEZUELA,South America
38,,2015.0,11.0,11.0,1.0,54.0,37.0,5592.0,,CHILE:  LA SERENA,-29.439,-72.105,10.0,6.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,CHILE,South America
39,,2015.0,11.0,13.0,20.0,51.0,3.0,5593.0,,JAPAN:  KYUSYU ISLAND,31.001,128.873,12.0,6.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN,Asia
40,,2015.0,11.0,17.0,7.0,10.0,3.0,5594.0,,"GREECE:  LEFKADA, KEFALONIA, ITHACA",38.67,20.6,11.0,6.5,,2.0,1.0,,,4.0,1.0,,2.0,1.0,1.0,,2.0,2.0,1.0,,,4.0,1.0,,2.0,1.0,1.0,,2.0,GREECE,Europe
41,,2015.0,11.0,17.0,17.0,29.0,29.0,,,KYRGYZSTAN: OSH,40.376,73.204,18.0,5.6,5.0,,,,,,,12.0,3.0,222.0,3.0,2237.0,4.0,,,,,,,12.0,3.0,222.0,3.0,2237.0,4.0,KYRGYZSTAN,Asia
42,,2015.0,11.0,18.0,18.0,31.0,57.0,5722.0,,SOLOMON ISLANDS,-8.899,158.422,13.0,6.8,4.0,,,,,,,,,,,,,,,,,,,,,,,,,SOLOMON ISLANDS,Oceania
43,,2015.0,11.0,22.0,20.0,38.0,5.0,,,VENEZUELA:  MERIDA,8.48,-71.42,5.0,5.1,4.0,1.0,1.0,,,3.0,1.0,,1.0,,,6.0,1.0,1.0,1.0,,,3.0,1.0,,1.0,,,6.0,1.0,VENEZUELA,South America
44,,2015.0,11.0,24.0,22.0,45.0,0.0,,,PERU-BRAZIL,-10.77,-71.41,636.0,7.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,PERU-BRAZIL,Not found
45,,2015.0,11.0,24.0,22.0,50.0,0.0,,,PERU-BRAZIL,-10.07,-70.98,606.0,7.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,PERU-BRAZIL,Not found
46,,2015.0,12.0,7.0,7.0,51.0,35.0,,,TAJIKISTAN,38.211,72.78,22.0,7.2,3.0,2.0,1.0,,,,3.0,5.0,2.0,500.0,3.0,793.0,3.0,2.0,1.0,,,,3.0,5.0,2.0,500.0,3.0,793.0,3.0,TAJIKISTAN,Asia
47,,2015.0,12.0,17.0,19.0,49.0,5.0,,,MEXICO:  COCOTITLAN,15.802,-93.633,85.0,6.6,5.0,2.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,MEXICO,North America
48,,2015.0,12.0,25.0,19.0,14.0,19.0,,,AFGHANISTAN; PAKISTAN,36.494,71.126,206.0,6.3,5.0,4.0,1.0,,,97.0,2.0,,1.0,,1.0,,1.0,4.0,1.0,,,97.0,2.0,,1.0,,1.0,,1.0,AFGHANISTAN,Asia
49,,2016.0,1.0,3.0,23.0,5.0,27.0,,,INDIA:  IMPAHL,24.804,93.651,55.0,6.7,7.0,13.0,1.0,,,100.0,2.0,75.0,4.0,,,,2.0,13.0,1.0,,,100.0,2.0,75.0,4.0,,,,2.0,INDIA,Asia
50,,2016.0,1.0,16.0,23.0,22.0,4.0,,,"INDONESIA: MALUKU:  BURU, AMBALAU ISLAND",-3.873,127.229,4.0,5.6,3.0,1.0,1.0,,,22.0,1.0,,1.0,,,230.0,3.0,1.0,1.0,,,22.0,1.0,,1.0,,,230.0,3.0,INDONESIA,Asia
51,,2016.0,1.0,24.0,10.0,30.0,56.0,,,ALASKA:  KENAI,59.658,-153.452,126.0,7.1,6.0,,,,,,,,1.0,4.0,1.0,,,,,,,,,,1.0,4.0,1.0,,,ALASKA,North America
52,,2016.0,1.0,25.0,4.0,23.0,13.0,5792.0,,MOROCCO:  MELILLA,35.649,-3.682,12.0,6.3,6.0,1.0,1.0,,,26.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,26.0,1.0,,1.0,,1.0,,1.0,MOROCCO,Africa
53,,2016.0,2.0,5.0,19.0,57.0,6.0,,,TAIWAN:  TAINAN,22.97,120.46,10.0,6.4,7.0,117.0,3.0,,,525.0,3.0,700.0,4.0,,1.0,,1.0,117.0,3.0,,,525.0,3.0,700.0,4.0,,1.0,,1.0,TAIWAN,Asia
54,,2016.0,3.0,2.0,12.0,49.0,11.0,5598.0,,INDONESIA: SUMATRA:,-4.952,94.33,24.0,7.8,5.0,,,,,,,,,,,,,,,,,,,,,,,,,INDONESIA,Asia
55,,2016.0,4.0,10.0,10.0,29.0,12.0,,,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,212.0,6.6,5.0,6.0,1.0,,,5.0,1.0,,1.0,,,20.0,1.0,6.0,1.0,,,5.0,1.0,,1.0,,,20.0,1.0,AFGHANISTAN,Asia
56,,2016.0,4.0,13.0,13.0,55.0,8.0,,,INDIA: ASSAM; BANGLADESH,23.094,94.865,136.0,6.9,5.0,2.0,1.0,,,170.0,3.0,,2.0,,,4.0,1.0,2.0,1.0,,,170.0,3.0,,2.0,,,4.0,1.0,INDIA,Asia
